[WARN] Hardware modules not available - running in simulation mode
=== REIP Node - Robot 4 [SIM (unique ports)] ===
Trust Model: Three-tier confidence-weighted
  Personal: 1.0, ToF: 1.0, Peer: 0.3
  Suspicion threshold: 1.5, Recovery: 0.1

  Logging to: logs/robot_4_20260226_203432.jsonl
Initializing hardware...
  Hardware: SIMULATED
[INFO] Position socket listening on port 11104
[INFO] Peer socket listening on port 11204
[INFO] Fault socket listening on port 11304
Ready!

=== Detection Bounds: T1=2 cmds, T3=8 cmds | Impeachment: T1=8 cmds, T3=32 cmds ===
Running... Press Ctrl+C to stop

[ELECTION] New leader: 4
[R4] pos=(0,0) state=leader leader=4 trust=1.00 susp=0.00 cov=0.0%/0.0%
[ELECTION] New leader: 1
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(405,737) state=follower leader=1 trust=1.00 susp=0.00 cov=0.5%/2.1%
[R4] pos=(441,960) state=follower leader=1 trust=1.00 susp=0.00 cov=1.6%/5.2%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/13.0%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
[R4] pos=(202,1063) state=follower leader=1 trust=1.00 susp=0.00 cov=3.6%/14.1%
